num_nodes,array_size,message_host,rank,message_time
72,100,arch08,1,2.7973e-05
72,100,arch08,2,2.5528e-05
72,100,arch08,3,0.000910143
72,100,arch08,4,0.000916555
72,100,arch08,5,5.7208e-05
72,100,arch08,6,1.9376e-05
72,100,arch08,7,0.00092473
72,100,arch01,8,0.0108697
72,100,arch01,9,0.0109593
72,100,arch01,10,0.010897
72,100,arch01,11,0.0109606
72,100,arch01,12,0.0109176
72,100,arch01,13,0.0109735
72,100,arch01,14,0.0112605
72,100,arch01,15,0.0109733
72,100,arch02,16,0.0113966
72,100,arch02,17,0.010948
72,100,arch02,18,0.0111101
72,100,arch02,19,0.0114089
72,100,arch02,20,0.0110502
72,100,arch02,21,0.0111544
72,100,arch02,22,0.0111579
72,100,arch02,23,0.0110877
72,100,arch03,24,0.0109679
72,100,arch03,25,0.0112522
72,100,arch03,26,0.0109649
72,100,arch03,27,0.0112838
72,100,arch03,28,0.0112871
72,100,arch03,29,0.0112509
72,100,arch03,30,0.0112026
72,100,arch03,31,0.0110291
72,100,arch04,32,0.0108902
72,100,arch04,33,0.0110435
72,100,arch04,34,0.0112886
72,100,arch04,35,0.01093
72,100,arch04,36,0.0108609
72,100,arch04,37,0.0108889
72,100,arch04,38,0.0113939
72,100,arch04,39,0.0114467
72,100,arch05,40,0.0113232
72,100,arch05,41,0.0110818
72,100,arch05,42,0.0112089
72,100,arch05,43,0.0114156
72,100,arch05,44,0.011302
72,100,arch05,45,0.0115748
72,100,arch05,46,0.0112276
72,100,arch05,47,0.0110557
72,100,arch06,48,0.0112627
72,100,arch06,49,0.0110994
72,100,arch06,50,0.0110652
72,100,arch06,51,0.0112731
72,100,arch06,52,0.0108917
72,100,arch06,53,0.0111339
72,100,arch06,54,0.0110524
72,100,arch06,55,0.0113845
72,100,arch07,56,0.0111247
72,100,arch07,57,0.0113883
72,100,arch07,58,0.011407
72,100,arch07,59,0.0110246
72,100,arch07,60,0.011392
72,100,arch07,61,0.0112082
72,100,arch07,62,0.0111659
72,100,arch07,63,0.0111686
72,100,arch10,64,0.0113022
72,100,arch10,65,0.0113523
72,100,arch10,66,0.0109238
72,100,arch10,67,0.0112398
72,100,arch10,68,0.010999
72,100,arch10,69,0.011263
72,100,arch10,70,0.0109941
72,100,arch10,71,0.0110215
72,1000,arch08,1,6.2328e-05
72,1000,arch08,2,0.000601368
72,1000,arch08,3,3.8193e-05
72,1000,arch08,4,8.0072e-05
72,1000,arch08,5,0.000600687
72,1000,arch08,6,7.5112e-05
72,1000,arch08,7,5.9222e-05
72,1000,arch01,8,0.0138744
72,1000,arch01,9,0.013657
72,1000,arch01,10,0.0138616
72,1000,arch01,11,0.0136537
72,1000,arch01,12,0.0138851
72,1000,arch01,13,0.0137884
72,1000,arch01,14,0.0135993
72,1000,arch01,15,0.0135958
72,1000,arch02,16,0.0136247
72,1000,arch02,17,0.013914
72,1000,arch02,18,0.0138837
72,1000,arch02,19,0.013785
72,1000,arch02,20,0.0130021
72,1000,arch02,21,0.0139381
72,1000,arch02,22,0.0136362
72,1000,arch02,23,0.0139364
72,1000,arch03,24,0.0139037
72,1000,arch03,25,0.0136523
72,1000,arch03,26,0.0138288
72,1000,arch03,27,0.0136383
72,1000,arch03,28,0.0139046
72,1000,arch03,29,0.0138891
72,1000,arch03,30,0.013839
72,1000,arch03,31,0.0138239
72,1000,arch04,32,0.0137387
72,1000,arch04,33,0.0137285
72,1000,arch04,34,0.0137342
72,1000,arch04,35,0.0136499
72,1000,arch04,36,0.0139705
72,1000,arch04,37,0.0137562
72,1000,arch04,38,0.0136544
72,1000,arch04,39,0.0136537
72,1000,arch05,40,0.0139035
72,1000,arch05,41,0.0136913
72,1000,arch05,42,0.0135933
72,1000,arch05,43,0.0139002
72,1000,arch05,44,0.0137874
72,1000,arch05,45,0.0139079
72,1000,arch05,46,0.0136229
72,1000,arch05,47,0.0138695
72,1000,arch06,48,0.0138162
72,1000,arch06,49,0.0138043
72,1000,arch06,50,0.0139363
72,1000,arch06,51,0.0138011
72,1000,arch06,52,0.0138103
72,1000,arch06,53,0.0139092
72,1000,arch06,54,0.0137943
72,1000,arch06,55,0.0139216
72,1000,arch07,56,0.0136962
72,1000,arch07,57,0.0137646
72,1000,arch07,58,0.0137313
72,1000,arch07,59,0.0138064
72,1000,arch07,60,0.0137153
72,1000,arch07,61,0.0137284
72,1000,arch07,62,0.013697
72,1000,arch07,63,0.0137144
72,1000,arch10,64,0.0137023
72,1000,arch10,65,0.0135971
72,1000,arch10,66,0.0136824
72,1000,arch10,67,0.0137336
72,1000,arch10,68,0.0136338
72,1000,arch10,69,0.013675
72,1000,arch10,70,0.0136989
72,1000,arch10,71,0.0136944
72,10000,arch08,1,2.661e-05
72,10000,arch08,2,0.000823067
72,10000,arch08,3,0.00135777
72,10000,arch08,4,0.00190095
72,10000,arch08,5,0.00256328
72,10000,arch08,6,0.00313891
72,10000,arch08,7,0.00382009
72,10000,arch01,8,0.0206656
72,10000,arch01,9,0.0206327
72,10000,arch01,10,0.0205513
72,10000,arch01,11,0.0209309
72,10000,arch01,12,0.0208801
72,10000,arch01,13,0.0206127
72,10000,arch01,14,0.0209041
72,10000,arch01,15,0.0208627
72,10000,arch02,16,0.0207114
72,10000,arch02,17,0.020854
72,10000,arch02,18,0.0208275
72,10000,arch02,19,0.020887
72,10000,arch02,20,0.0206832
72,10000,arch02,21,0.0208404
72,10000,arch02,22,0.0205939
72,10000,arch02,23,0.0208079
72,10000,arch03,24,0.0205859
72,10000,arch03,25,0.0206294
72,10000,arch03,26,0.0205304
72,10000,arch03,27,0.0206961
72,10000,arch03,28,0.020682
72,10000,arch03,29,0.0205857
72,10000,arch03,30,0.0205349
72,10000,arch03,31,0.0205941
72,10000,arch04,32,0.0206729
72,10000,arch04,33,0.0209275
72,10000,arch04,34,0.020791
72,10000,arch04,35,0.0207729
72,10000,arch04,36,0.0209369
