run_id,num_nodes,array_size,message_host,rank,message_time
1,2,1000000,arch01,1,0.0449434
2,2,1000000,arch01,1,0.0445382
3,2,1000000,arch01,1,0.0447753
4,2,1000000,arch01,1,0.0449215
5,2,1000000,arch01,1,0.0448853
6,2,1000000,arch01,1,0.0450984
7,2,1000000,arch01,1,0.0452978
8,2,1000000,arch01,1,0.0451577
9,2,1000000,arch01,1,0.0444719
10,2,1000000,arch01,1,0.0450442
1,2,1000000,arch02,1,0.0431186
2,2,1000000,arch02,1,0.045381
3,2,1000000,arch02,1,0.0443959
4,2,1000000,arch02,1,0.0423444
5,2,1000000,arch02,1,0.0398465
6,2,1000000,arch02,1,0.0401694
7,2,1000000,arch02,1,0.0432422
8,2,1000000,arch02,1,0.0429883
9,2,1000000,arch02,1,0.0430052
10,2,1000000,arch02,1,0.0390759
10,2,1000000,arch03,1,0.0436633
9,2,1000000,arch03,1,0.0424403
8,2,1000000,arch03,1,0.0396112
7,2,1000000,arch03,1,0.0379665
6,2,1000000,arch03,1,0.0398453
5,2,1000000,arch03,1,0.0396141
4,2,1000000,arch03,1,0.0409109
3,2,1000000,arch03,1,0.0424115
2,2,1000000,arch03,1,0.0416401
1,2,1000000,arch03,1,0.0436139
1,2,1000000,arch04,1,0.0393494
2,2,1000000,arch04,1,0.043478
3,2,1000000,arch04,1,0.0449203
4,2,1000000,arch04,1,0.0442661
5,2,1000000,arch04,1,0.0430616
6,2,1000000,arch04,1,0.0411619
7,2,1000000,arch04,1,0.0393844
8,2,1000000,arch04,1,0.0448794
9,2,1000000,arch04,1,0.042744
10,2,1000000,arch04,1,0.0442468
10,2,1000000,arch05,1,0.0442555
9,2,1000000,arch05,1,0.0434092
8,2,1000000,arch05,1,0.0436939
7,2,1000000,arch05,1,0.0431038
6,2,1000000,arch05,1,0.044765
5,2,1000000,arch05,1,0.0436019
4,2,1000000,arch05,1,0.0436203
3,2,1000000,arch05,1,0.043727
2,2,1000000,arch05,1,0.044252
1,2,1000000,arch05,1,0.043171
1,2,1000000,arch06,1,0.0417446
2,2,1000000,arch06,1,0.042531
3,2,1000000,arch06,1,0.043758
4,2,1000000,arch06,1,0.0448022
5,2,1000000,arch06,1,0.0441164
6,2,1000000,arch06,1,0.0426162
7,2,1000000,arch06,1,0.0415995
8,2,1000000,arch06,1,0.0453249
9,2,1000000,arch06,1,0.0440497
10,2,1000000,arch06,1,0.042586
10,2,1000000,arch07,1,0.0449774
9,2,1000000,arch07,1,0.0452215
8,2,1000000,arch07,1,0.0451271
7,2,1000000,arch07,1,0.0457394
6,2,1000000,arch07,1,0.0444756
5,2,1000000,arch07,1,0.0439719
4,2,1000000,arch07,1,0.0437908
3,2,1000000,arch07,1,0.0443418
2,2,1000000,arch07,1,0.0445269
1,2,1000000,arch07,1,0.0440596
1,2,1000000,arch10,1,0.0432804
2,2,1000000,arch10,1,0.0407189
3,2,1000000,arch10,1,0.0411951
4,2,1000000,arch10,1,0.0438656
5,2,1000000,arch10,1,0.0449836
6,2,1000000,arch10,1,0.0445258
7,2,1000000,arch10,1,0.042228
8,2,1000000,arch10,1,0.0429817
9,2,1000000,arch10,1,0.0441859
10,2,1000000,arch10,1,0.0433245
